hero
LITTLE, ABNER
JACKSON, CELIA
POUNDCAKES/MARIAN PO
LETHA
TITANIA/
SHELLSHOCK/
MODOK/GEORGE TARLETO
CARRADINE, JESSICA J
BRAMER
LEWIS, DEVON
LASHER/
ANDROS
NARDI
ERISHKIGEL II/HOLLY
ANTHROMORPHO
CHIEF EXAMINER
STRONG GUY/GUIDO CAR
DEATHURGE
EPOCH
FATH
MAGIC
KRUMA, TALIA
CARTER, PEGGY
IMPULSE
ANGLER
MANTA
KORATH THE PURSUER
SOLAR WIND
TEMPEST/GRANNZ
MOONDANCER
VOYAGER
ORACLE/LADY SIBYL
ONSLAUGHT
NEUTRON
WARSTAR
GLOM
ELECTRON
SHATTERAX
LILANDRA NERAMANI [S
STARBOLT
ARAKI II
GLITTER/
CAPTAIN MANHATTAN
ANTIBODY
BLUR
SOUL-EATER
QUAGMIRE
ANOMALY III
CAREGIVER/RUBANNA LA
BALLANTINE, MR.
ULTIMUS
DEATHBIRD [SHI'AR]
WAYOPEX
BALLANTINE, DEVON
CHALIZ, SHANAZ RAYNA
CHALIZ, HAZRAM
JACK O'LANTERN II/MA
MAGUIRE
WALTERS, BILLY
CONUNDRUM/
GREEN GOBLIN V/
GOTTFRIED, WILLIS
GRIZZLY/MAXWELL MARK
CALYPSO
KRAVEN THE HUNTER II
PROFESSOR ANGST/DR.
KAFKA, DR. ASHLEY
THOMPSON, ROSIE
THOMPSON, HARRISON
THOMPSON, JESSICA JE
ROBERTSON, MARTHA
GIBBON/MARTIN BLANK
WHITE RABBIT
CHALIZ, TABRIAZ
DIPALMA, JOHNNY
HILLIARD, JACOB
LEWIS, SHIRLEY WASHI
BUZZ
CARNAGE/CLETUS KASAD
ROSE IV/JACOB JAKE C
FIELDING, CLARENCE
AURA/ANN HERD
SHOTGUN III/
LILITH/ANGEL O'HARA/
LOCKJAW [INHUMAN]
REPTILLA
VERTIGO
GAZELLE
BRUTACUS
THORNN
VAKUME
HYDRON
DRAGON MAN
BEL-DANN, GEN.
RAKSOR [SKRULL]
SUNSET
ARCADE/
MISS LOCKE
DOPPELGANGER
DEMOGOBLIN
LUMPKIN, WILLIAM WIL
SOLO/
WATSON, KRISTY
GOG
SLEEPWALKER
RAMBO
SHERIDAN, RICHARD RI
MCDONNELL, OSCAR
CYBORG X/
NIGHTHAWK/KYLE RICHM
TOM THUMB/THOMAS THO
AMERICAN EAGLE II/JA
CAPTAIN HAWK
GOLDEN ARCHER II/WYA
THOMAS, ROY
CASIOLENA, QUEEN
ARIES/MARCUS LASSITE
RED WOLF III/WILL TA
LOBO
WOLF SPIRIT/OWAYODAT
RED WOLF/WILDRUN
BOGGS, MORDECAI P.
BIG MAN/FREDERICK FO
MOLTEN MAN/MARK RAXT
LOOTER/NORTON G. FES
WHITE QUEEN/EMMA FRO
ROULETTE II/JENNY ST
JONES, BART
EMPATH/MANUEL ALFONS
CATSEYE/SHARON SMITH
JETSTREAM/HAROUD IBN
TAROT/MARIE-ANGE COL
THUNDERBIRD II/JAMES
KURAGARI
GOMURR
TAR
BERENGHETTI, MICHAEL
SUZIE
CAT III/SHEN KUEI
BLASTAAR
RED GHOST/IVAN KRAGO
PEATOR
IGOR
MIKHLO
BREEGAN
BYRRAH | HEROES REBO
TUVO
AL-KHALAD
RALSTON, SENATOR ROB
MANELLI, DINO
SAWYER, GENERAL SAMU
JUNIPER, JONATHAN JU
MORG
AIR-WALKER/GABRIEL L
ATTUMA
BELASCO
HUNTER, STEVIE
HOBBS, HARRIS
SIGYN
THOR II/ROGER RED NO
HODER [ASGARDIAN]
PLUTO [OLYMPIAN]
HERMOD [ASGARDIAN]
FRIGGA
VOLLA
TURK
WEISENTHAL, DR. JACO
COMET MAN/DR. STEPHE
STROUD, SIMON
PRIME MOVER
JAGATAR
PLUNDERER/LORD EDGAR
CONSUMPTION
HELLER, DR. JOSEPH
ZIRA
SHINCHUKO, LOTUS
BYRD, NATHANIEL ALEX
INAZUMA
KAZE
JACKSON, CURTISS
DR. FAUSTUS
SLUG/ULYSSES X. LUGM
VAGABOND/PRISCILLA L
TINKERER
LEFT-WINGER/HECTOR L
RIGHT-WINGER/JEROME
RIDDLEY, HIRAM RAM
SCOURGE
DOMINO II
PUPPET MASTER/PHILLI
GANGER, DR. ALEXEI
SORRENTINO/SORRENTIN
COSMIC MESSIAH
PRAZNIKI, VICTOR
FLEMING, PHILIP
PRAZNIKI, ANNIE
MOONBOY
DEVIL DINOSAUR
SONDHEIM, ERICA
STARK, MORGAN
SPYMASTER II
SCRIER
LADONNA, HOLLY
SAMHAIN
MOONSTONE/LLOYD BLOC
EXECUTIONER
BLAKE, DR. DONALD (C
TYR
ROOSEVELT, FRANKLIN
ASANO
YASHIDA, MARIKO
SHRIEK/SANDRA DEEL/F
CARRION II/MALCOLM M
MCBRIDE, BEATRICE
YUKIO
FROH
DONAR
BRUNNHILDE/MCM-XLI (
BRAIN DRAIN/WERNER S
BLACKWING/JOSEPH MAN
CRUSHER II/JUAN APON
NEKRA/ADRIENNE HATRO
O'HARA, ROBERT IRONG
GLADIATOR/MELVIN POT
RORY, RICHARD
PETROVITCH, IVAN
OWL/LELAND OWLSLEY
CARSON, LT. PAUL
SHATTERSTAR II/GAVEE
SIRYN/THERESA ROURKE
LANG, DR. STEVEN
RICTOR/JULIO ESTEBAN
BOOMER/TABITHA SMITH
CYPHER/DOUG RAMSEY
WEIN, LEN
CHAMBERS, MR.
WING, COLLEEN
WEIN, GLYNIS
AUSTIN, TERRY
WILFORD, BONNIE
WILFORD, ELISABETH B
CLAREMONT, CHRIS
STERN, ROGER
SHROUD/MAXIMILLIAN Q
GRAVITON/FRANK HALL
WILLIAMS, MRS.
MOUSE
CAT II
MCCABE, LINDSAY
SPIDER-WOMAN/JESSICA
MR. FEAR III/PROF. L
CHALMER, JUDGE
DWYER, MARISSA
BORROUGHS, CHARLES C
MALPHER, KATHY
MURDOCK, SISTER MAGG
PAI
MOLLE, DR.
STAR, JOAN
DUBOIS, DR. CLAUDIA
SYNAPSE/
SENYAKA, TIA
CAMBRIDGE, MOXIE
TSKAROV, GENERAL
DAVIDOFF
URSA MAJOR/MIKHAIL U
VANGUARD/NICOLAI KRY
X-MAN/NATHAN GREY
REYES, DR. CECELIA
HUNTER, IAN
HINDS, PATRICK
CONCIERGE, LE/
LOCKHEED
BLOODAXE/JACKIE LUKU
RUSSIAN
KREIGKOPH, GEN.
SOAP, DET.
SLEEPER
ZOLA, ARNIM
CROSSBONES/BROCK BIN
MOTHER NIGHT/SUSAN S
HAUPTMANN DEUTSCHLAN
WRAITH
DEWOLFF, JEAN
COMMANDER COURAGE/
RUDOLFO, PRINCE
JENNINGS, JOSEPH
RAHN, TAMARA
LARGO, CHIEF
SPEEDFREEK/SHAPPE
MAX II
JORDAN, HAL
DIAMOND, KATHY
AMPHARON
PAPA HAGG
VALKYRIE IV
CASSIOPEIA
ACHILLES II/HELMUT
AJAX
ATALANTA
JASON
HECTOR II
ULYSSES II
AGAMEMNON III/
SEA URCHIN/JEREMY SW
ORKA
PIRANHA
NAGALA
WAYFINDER
SIINGARD
PARIS
HOARFEN
JUSTICE PEACE
MR. MOBIUS
DEVOS THE DEVESTATOR
KARMA/XI'AN COY MANH
EITRI
BRIGHTWIND
HRIMHARI
HUSK/PAIGE GUTHRIE
SYNCH/EVERETT THOMAS
M
SKIN/ANGELO ESPINOSA
SZARDOS, MARGALI
BROTHER ROYAL
NOCENTI, ANN
IMPOSSIBLE MAN
JONES, LOUISE
SHOOTER, JIM
GRUENWALD, MARK
AMPHIBIAN/KINGLEY RI
NUKE
MASTERS, DR. AUGUST
THAMES, SERIPHA
HELLSTORM DOPPELGANG
YANDROTH
SUMO
MASQUE
HUMP/
BRUTE II/
CUTTHROAT/DANIEL LEI
NEBULA
GUNTHAR II
LEVAN
ZEDRAO, GENERAL
PALADIN/PAUL DENNIS
HELIO
PHOBIUS
GRONK
LECLAIRE, PROFESSOR
SKUNGE
JORRO
APOLLO [GREEK GOD]
CEREBRO
CEREBRITE BETA
CEREBRITE ALPHA
MAJCOMB, RENEE
NINA
JONES, WILLIAM
JOSEPH
ASTRA II
MELLENCAMP
FERRIS
NEOPHYTE/
KATH
KAMAL
UNUSCIONE
VINDALOO/
MERCURY III/
LANDSLIDE II/LEE BRO
GREY KING/ADDISON FA
CRUX/CRISTAL LEMIUEX
CHAOS/DANIEL DASH
RAPTURE/SISTER JOY
APE MAN/GORDON MONK
POSITRON/RONNIE
CHANCE
ARIEL II
MULTIPLE MAN/JAMES A
SILVER SURFER IMPOST
BOWMAN, MAJ.
JIGSAW
MCCOY, NORTON
EL CONQUISTADOR
SHADOW KING/AMAHL FA
CARTER, BRAD
BUSHKIN, BARNEY
MULLANY, MIKE
MAYE, APRIL
DOCKERY, RUPERT
JONES, SANDY
WHITMAN, DEBRA
BAXTER, ABIGAIL
GORNKAI
JANUS
BAXTER, NOAH
AWESOME ANDROID
HARROW, DR. JONAS
HELLSCOUT/KENNETH TE
TENNYSON, JACOB
ALLEN, TERRY
OLSEN, JIMMY
DIAMOND, BOB
STELLARAX
RAVEN, SABBATH
PATHWAY/LAURA DEAN
GOBLYN
JADE DRAGON/DEI GUAN
SNAKE
RABBIT
RAT
PARALYZER
OCCULT
METEORITE
SLITHER
WILBURN, MYRON
FANG
OX IV
RAPIER
SAUNDERS, KRISTINE
SHAMAN II
BRIGHTSWORD/CARTER D
CADUCEUS
HARVEST/CHI LO
MOONSTALKER/KIANA
VARUA/MIRA
SPLICE/CHANDRA KU
DAYDREAMER/CATHERINE
MINDSINGER/GREGOR
GENII/JASON KIMBALL
CALCULUS/JAHAHAREL P
HIGHNOTE/RAOUL HERNA
LYNNE, MONICA
DRUID/DREDMUND CROMW
FEROCIA/
MOONHUNTER/ZACK MOON
NIGHTSHADE/TILDA
SHINSKI, PROFESSOR W
THENA
IKARIS/IKE HARRIS [E
GRANDMASTER/EN DWI G
FERAL/MARIA CALLASAN
PUENTES, DONNA MARIA
PUDDLEGULP
VERTIGO II
ARCLIGHT/PHILLIPA SO
HARPOON
BLOCKBUSTER III/MICH
MACENDALE, KAREN
MACENDALE, JASON JR.
CODY, GARY
WINGFOOT, WYATT
WERNER, P.D.Q.
ROMA
STUART, DR. ALISTAIR
SAT-YR-9
SATURNYNE, OPAL LUNA
STUART, BRIG. ALYSAN
VIXEN
CRUSADER X/BRIAN BRA
STEELE, MARCY MASTER
AUSTIN, SUSAN
TAGAR
REDWING
MULDOON, SGT. BRIAN
VIPER/JORDON DIXON
TAYLOR, LEILA
MANGOG
BLACK TOM CASSIDY
PEYER, DANNY
JUGGERNAUT/CAIN MARK
KILLBREW, DR.
STRANG, COL./LT. GAR
GUILOTINE
SALTZ/
ROMMEL, EDWIN ROMULU
MASON, JOHN
PRINCESS FEN [ATLANT
ROGERS, CAPT. STEVEN
GREEN, JAMES
STONE, LT. MARCUS
MICHEL, RAFE
SCORPION/MACDONALD G
CARLISLE, PHILLIP
CARLISLE, MELISSA BO
AYALA, AWILDA
WHITE TIGER/HECTOR A
GOLDBUG
SCREAM
MENTALLO
HUMUS SAPIEN
METEORITE III/VALERI
CHARCOAL/CHARLIE BUR
SMUGGLER II/CONRAD J
JOLT/HALLIE TAKAHAMA
BEETLE II/LEILA DAVI
O'CONNELL, TARYN
RAZORBACK/
WARTON/WARBECK
DYNA-MITE/ROGER AUBR
COMMCAST/GARABED BAS
M'REEL
KINGMAN, BILL
REBEL/
GARABED/BASHUR
TORO II/BENITO SERRA
KID COLT II/ELRIC FR
BUCKY VII/RIKKI BARN
I.Q./ISHMAEL QUESTOR
BURLINGAME, CALVIN
DUNCAN, FRED
BERNARD THE POET
GREY, DR. JOHN
GREY, ELAINE
BLOCKBUSTER/
SCARBO
FIREFALL III/ARCHIE
PACKER, ARTIE
HOUSE OF SHADOWS
SERPENTYNE
LITTLEWING, SUSIE
EDWARDS, MARTIN/DR.
SMITH, MANDY
WHITECLOUD, MICHAEL
SMITH, MARTY LOUIS L
THUNDERBIRD/JOHN PRO
BATTLESTAR/LEMAR HOS
TITANIA II/MARY SKEE
CRUCIBLE/BYRON CALLE
QUILL
M'DAKA
COTTONMOUTH II
COACHWHIP
MIST MISTRESS
STONEWALL/LOUIS HAMI
CRIMSON COMMANDO/FRA
WILL O' THE WISP/JAC
ROCKET RACER/ROBERT
TIERS, MICHELLE
SLUGANSKI, ERNIE
TOMAZOOMA
MAXWELL, DR. WILFRED
GARDENER/ORD ZYONYZ
CRUSADER II/ARTHUR B
TUSK
PSYNAPSE
MAINFRAME II
FONTAINE, CINDER
HARDRIVE
GORGEOUS GEORGE
HAIRBAG/SUGGS
RUCKUS
SLAB/KRIS ANDERSON
DUSK III
DAWN
MANX
WITNESS/NESS
CAESAR, JONATHAN
SHINAR
AUNTIE FREEZE/
STYX/JACOB EICHORN
STONE II
BARRIER/
RINGER II
NEWELL, DIANE ARLISS
ROSSI, COL. MICHAEL
BRADLEY, CARRIE
DR. OCTOPUS II/CAROL
TSO, JASON
SMYTHE, ALISTAIR ALP
WADE, AGENT JOE
MASTER PROGRAMMER
PRO, LE/
YIN, ANGELA
KANNOR, ORLANDO
ESSEX, REBECCA
SANCTITY/TANYA TRASK
DORMAMMU
POISON/CECILIA CARDI
GREICO, LINDA
LURKING UNKNOWN
PRINCESS PEARLA
PSYCHO-MAN
BLITZIANA
LUMINOR
RIGER
BELLAM
LOGA II
ZEFRA
KINCAID, JIMMY
ANAK
RICKMAN, JONATHAN
CAPTAIN POWER/DR. CH
MYSTERIO II/DANIEL B
STONE, JOHN
HARDY, STAN
STONE, CHANTAL
TWAKI, DR. TED
MADAME WEB/CASSANDRA
SYNARIO/ANGELA BRADF
NELSON, DEBBIE HARRI
POTTER, BETSY BEATTY
BLAKE, BECKY
FISK, VANESSA
KIRIGI
CHERRYH, RANDOLPH WI
LAVENDER, MAXINE
HOGARTH, JERYN
BIZEN
AMIKO
MCCABE, NINA
KUROYAMA
STEWART, MACKINLEY
BLACK MOUNTAIN/KUROY
AMERICAN SAMURAI/
LAU, KING
WEISS, KONRAD KONNIE
X-CUTIONER/CARL DENT
COURIER/JACOB GAVIN
BENTLEY, VICTORIA
TONGAH
XANDU
FALLON, RIGBY
OGUN
WISDOM, PETER
DARKOTH/MAJOR DESMON
DR. DOOM CLONE/VICTO
GREEN GOBLIN IV/PHIL
GLAZER, FAST FREDDY
DARE, JOHNNY
JOYSTICK/JANICE
EL TORO NEGRO/SERGIO
RAINBOW, BECKY
TEXAS TWISTER/DREW D
OMNIBUS/LT. DALLAS
SOUL MAN/FATHER JASO
OGRESS/
HOTSHOT/LOUIS
PROMETHEUS II
ROCK/SAMUEL JOHN ROC
DR. BONG
MORPHEUS/ROBERT MARK
BLACK SPECTRE/CARSON
FLINT, LT.
VANKIN, JONATHAN
STAINED GLASS SCARLE
DARKOVER, PROFESSOR
INVISIBLE WOMAN DOPP
VINDICATOR II DOPPEL
COLOSSUS II DOPPELGA
CAPTAIN AMERICA DOPP
SCARLET WITCH DOPPEL
HULK DOPPELGANGER II
PAIBOK, CAPT. [SKRUL
STORM DOPPELGANGER I
SASQUATCH DOPPELGANG
MOONDRAGON DOPPELGAN
MARVEL GIRL DOPPELGA
ANGEL DOPPELGANGER
THOR III DOPPELGANGE
QUASAR DOPPELGANGER
COMPUTO
DORMA [ATLANTEAN]
SETH
COHEN, IZZY
MCGIVENEY, BULL
PINKERTON, PERCIVAL
HAWLEY, PAMELA
DONYELL
LEAP-FROG/VINCENT PA
SCIMITAR
BLACK MARIAH
AZIR
ROYCE, JENNIE
TEMPLE, CLAIRE
WHYTE, HARMONY (HARM
BERNSTEIN, DR. NOAH
SCARFE, RAFAEL
WARHAWK II
SABRETOOTH/VICTOR CR
BULLDOZER/HENRY CAMP
WRECKER III/DIRK GAR
YELLOWJACKET II/RITA
PILEDRIVER II/BRIAN
FREEMAN, DEREK
HERMES [GREEK GOD]
REEVES, MAJOR
DAVIS, ABBY
BENNETT, MITCH
BENNETT, DANNY
THREETREES
PUMA/THOMAS FIREHEAR
RAVAGE/PROF. GEOFFRE
HONDA, DR.
MARKS, DR. SHIELA
COCO
BRUNO
MICHAELS, DAWN
DRAGO, VALERIE
WINGFOOT, WYNONA
PUNISHER
LUMPKIN, WILHEMINA B
LANCER/SAMANTHA DUNB
DIVINITY
TECHNARX
SHAKTI
BOUNTY II
MARVEL GIRL II/VALER
MOY, ALYSSA
CALEDONIA/ALISANDE S
PERSEPHONE
HIPPOLYTA [GREEK GOD
KATAR
ARLISSE
B'ARR
DIAMONDE, YVETTE
STEM
PUPPY
LARROCA, SALVADORE
ASHEMA [CELESTIAL]
APOSTATE
WETHERELL, MANOLI
CLINTON, BILL
DORMA II [ATLANTEAN]
WEBSTER, NORM
MASKED MARAUDER/FRAN
SUEE, FAH LO
LAYLA
RIFKIN, BIFF
FOOLKILLER II/GREG S
KANE, MARCY/KAINA
CHANG, DR. PHILLIP
SHORR, JACQUELINE
RABIN, GRETTA
SABRA/RUTH BAT-SERAP
MEER, MAX
GUNTLY, DAVID
DORNOVA-BLONSKY, NAD
CRAZY EIGHT/LESLIE A
CUSSLER, PHILLIP JR.
CUSSLER, PHILLIP
BOONE
CHAKRA
MR. NACHT
MEDEA
VERMIN/EDWARD WHELAN
SCRIER II/
WILD WHIP
TYPHOID MARY/MARY ME
TRACER
WATSON, KEVIN
NOCTURNE II/ANGELA C
CAGLIOSTRO, ALESSAND
IMPOSSIBLE WOMAN
DEATH STING/MIRANDA
MEACHUM, JOY
SHIPPINSKY, MALIK
SSS'LETHCOTT
SHARYD/CONAL
CRIME-WAVE/HOLLIS
DAGDA
CABER
LEIR
DEMONICUS/DR. DOUGLA
SNOW, CHARLIE
EIGHTBALL
RALF
DARLA
JOHNSMEYER, JAMES
MUSE/SHANNON FITZPAT
KARLSON, KAREN
LIPTON, TRENTON III
CARDINALE, CARLOS
SCOTT, PARIS
LOBO II
MCHELE, JEREMY
HELLER, ERIC
PINKWATER, ELLA
BLOODSHED/WYNDELL DI
BAZIN, PHILLIPPE
HYPERTRON/CHESTER
HYPERTRON II/STURDEV
GALVIN, TOMMY
MAN-MOUNTAIN MARKO
DUVALL, SNAKY
ROSE II/SGT. BLUME
KATZENBERG, NICK
DEATHWATCH/STEPHAN L
ROSE III/
BLACK, CYRUS
YETRIGAR
ONSLAUGHT II
HYPERSTORM
EBONY
DARK BEAST/HENRY MCC
AHURA
HALBERG, DONALD
CLOONEY, DR.
MOONRAKER/SLADE TRUM
CYBERMANCER/DR. SUZI
CHANEY, AMANDA
BOLT II/CHRIS BRADLE
SICKLE II/
PUSHKIN, IVAN
MAVERICK/CHRISTOPHER
IVANOVA, ELENA
FERGUSON, ISABEL
HAMMER IV/
MCKENZIE, SCARLETT
RANDOM II/MARSHALL E
FATALE/PAMELA GREENW
TATSU'O
WILD CHILD/KYLE GIBN
STANACHEK, FREDDIE
NEKOBAH, ROMAN
BEALE, ERIC
FUNARO, DONNA
LIVING MONOLITH/AHME
COPPERHEAD II/
JUVAN
ZON
EGO
SUGAR MAN
SENTRY III
FIREARM/
WYSPER/MS. STEWART
HOARFROST/
BOMBLAST/
HOOPSNAKE/
FIZGIG/
WATCHFIRE/
LOBLOLLY/
CHADWICK, DR. HESPER
CHADWICK, CHEER
FIELDSTONE/
TAUREY, WILLIAM MALC
RAMSHOT/
SCARUM/
GLOUCESTER
SHOCKWAVE/LANCASTER
MAN-APE/M'BAKU
MUTANT MASTER
BEETLE ROBOT
TAKAHAMA, ROBERT
TAKAHAMA, JANE
CYCLONE II/PIERRE FR
ROGERS, GAYLE
HIGGINS, SAMUEL
MAN-KILLER/KATRINA L
SPITZ, BARRY
CRIMSON COWL II/
NUKLO/ROBERT FRANK J
SILVER SCORPION/ELIS
MARTINEZ, ISADORA
BUCKY II/FRED DAVIS
JORNICK
AYALA, FILIPPO
CHENEY, LILA
LIVING MUMMY
CONTROLLER/BASIL SAN
NOBLE
SISTER NIL
SAXON, STARR
VOICE
MCDOWELL, SCOTTY
DANSEN MACABRE
TATTERDEMALION/
COWEN, BUCK
MODULAR MAN/STEPHEN
IRONWOOD, CISSY
BARON BRIMSTONE/
QUINN, PAMELA
HAVEN/RADHA DASTOOR
SHARD
NAZE
RAWHIDE KID
BROKEN MAN
MR. SCRATCH
QABIRI
MARCHALLA
MARCHALLA II
URCHALLA
FORGE | EARTH 998
BEYNON, DR. BRADLEY
TORGO
DARK CRAWLER
BANSHEE II
NIGHT RIDER III/HAMI
SHOOTING STAR
NIGHT FLYER
LANDSLIDE
MANDRILL/HENSLEY FAR
VON RICHTOFEN, LT. M
CORSAIR
O'HOOLIHAN, SERGIUS
DRAKE, FRANKLIN
HARKER, QUINCY
VAN HELSING, RACHEL
TANAKA, OPAL
JONES, CHARLOTTE
PHOENIX II
MONGRAIN, ALISON
CREEP/
IKTHON
DESTINY/PAUL DESTINE
BADALAMENTE, JESUS
COOPER, WHITNEY III
MR. FX/
CONOVER, ALYSSA
CROSS, HAROLD
LOVEJOY, FRANKLIN
SMITH, COL. TOLLIVER
PEREZ, DET. CECILIA
LULLABY/FELICITY HOP
CRIMEWAVE/
SHERIDAN, FLORENCE
WEAK LINK/ERNIE MILL
UPLINK/HECTOR FUENTE
SHERIDAN, WILLIAM
MASTER LINK/WILLIS H
MISSING LINK II/RAY
HUDDLESTON, PROF.
BOOKWORM/NELSON GRUB
8-BALL/
EPSTEIN, MRS.
EPSTEIN, MORRIS
MCMURRAY, YVONNE
BAYLOR, FRANK
FOOLKILLER III/KURT
MOODY, RUNYAN
SINGER, MERLE
WHITMAN, PATRICIA
MENDOSA, EMILIO
CAT MAN III/
BIRD MAN III/
APE MAN II/ROY MCVEY
SHOC/NEIL AIKEN
DUSK
CHI-CHEE
PSIREN
HOPE
MAINSPRING
SCENE STEALER
DOUGHBOY
CHAKRA II
PENDRAGON, ARTHUR
MERLIN
GOLDEN-BLADE
DIXON, GENERAL
MADAME MENACE/SUNSET
JACOBS, GLENDA
WAR MACHINE II/PARNE
SAPPER
FIN FANG FOOM/MIDGAR
RAMPAGE/STUART CLARK
NAPIER, RAMONA DR.
YUAN, BILLY
GRAY, CHARLES
YUAN, ANNIE
DONLEAVY, HANNAH
YEAGER, CALLIE
GALLAGHER, BOB
NITRO/ROBERT L. HUNT
RED GUARDIAN V
DARKSTAR/LAYNIA SERG
POWERSURGE/ILLARION
SIBERCAT/
MADAME MASQUE IV
FANTASMA
VOSTOK
PLEXICO, DET.
BURKE, THERESA TRACY
BOMBSHELL/
ODDBALL/ELTON HEALEY
CROSSFIRE
MANTIS/? BRANDT
PHANTOM RIDER II/HAM
DELPHIS, SIR
BOVA
TYGER, LORD
RAM, SIR
GATOR, LORD
BUCHOVITZ, STANLEY &
EXODUS/BENNET DUPARI
VERMIN, LADY
GARGOUILLE/
WHITE TIGER II/
URSULA, LADY
MALEKITH/MALCOLM KEI
BEHEMOTH
AMAZON
KNIGHT ERRANT II
DRAGONFIST
VAPOR
VECTOR
STINGER IV
IRONCLAD
X-RAY
SHE-CAT
DEMI-GOD
SWORDSMAN II/COTATI
MASTER/ESHU
CHANCE II/NICHOLAS P
WIDDOWS, SGT.
CARDINAL/CLEMDENON
BRUTE/REED RICHARDS
THUNDRA
PEREZ, GEORGE
LEE, STAN
WOLFMAN, MARV
KIRBY, JACK
VERPOORTEN, JOHN
CONWAY, GERRY
CAPTAIN ULTRA/GRIFFI
GORR
ST. LAWRENCE, COL. C
CRAWFORD, GEN.
ROGERS, W.T.
CLINTON, CHELSEA
FLINN, LANCELOT LANC
MAESTRO
JAILBAIT/JESS
ARMAGEDDON
TRAUMA
SPAR, DR. KATHERINE
VOLCANA/MARSHA ROSEN
FLYING TIGER
ARMS MERCHANT/ANDREA
INDIUM
CHLORINE
SCANDIUM
ZIRCONIUM
PHOSPHORUS
CARBON
HAFNIUM
SODIUM
THALLIUM
BARIUM
ERBIUM
COBALT
ARSENIC
DISPROSIUM
IRON
COPPER
KHANDRUVITCH, DR. VA
MERCURY II
MAGNESIUM
VANADIUM
BERYLLIUM
BROMINE
HELIUM
TUNGSTEN
CADMIUM
NICKEL
CHROMIUM
EUROPIUM
GROWING MAN
HAMILTON, JEROME
ZOTA, CARLO
DAMIAN, DR. DANIEL
GROSS, CLIFFORD
SANTINI, DR. JOSE
HILDY [ASGARDIAN]
SURTUR
EILIF DRAGONSLAYER
MEGATAK
SPRITE
RAVONNA LEXUS RENSLA
HUNT, JERRY
MAGNUS
HANGMAN
CRITICAL MASS
BLOODLUST
WHIPLASH II/
ELITE/
GNUCCI, MA
HOLY/FATHER HECTOR R
MR. PAYBACK/
BUMPO, MR.
DEZOAN, JOHN
ETUBAN
GREEN, LILA
TERMINUS
DEADEYE/
METALSLASH/
SOUNDBYTE/
IMPACT/
BOUDREAUX, BELLA DON
WANG, VICTORIA VICKY
RHAPSODY/RACHEL ARGO
CYBER
DAHN, FARNOQ
ERIC THE RED [SHI'AR
TSURAYABA, MATSUO
CHROME/
DELGADO
ANDERSON, CHIEF MAGI
RICOCHET/SEN. STEVEN
RAMROD III/
CHALKER, PROF. VIC
MEEK
STRUCKER, ANDREAS
OMEGA RED/ARKADY ROS
STRUCKER, ANDREA
CORNELIUS, DR.
BIRDY
LEGION II/DAVID HALL
SAJA
SAVANNAH, LOU-ANN
ZURAS
CAT MAN/HORGAN
BIRD MAN/HENRY HAWK
RALEIGH, RICHARD
LINCOLN, WILLIAM WIL
COURTNEY, DELPHINE
DIAMOND LIL/LILLIAN
AVRIL, SALLY
SCORCHER/
BATWING/
GUARDIAN V/JAMES MAC
MURMUR II/ARLETTE TR
FLEX/ADRIAN CORBO
HUXLEY, DR. HORATIO
RADIUS/JARED CORBO
GUARDIAN/JAMES MACDO
GENTRY
MANBOT/BERNIE LACHEN
GHOST GIRL II/LILLI
WEAPON X III
LEVIATHAN
DIAMONDBACK
DAKIMH THE ENCHANTER
KALE, JENNIFER
PATILIO, MARIE
GROSS, IRA
WALRUS
AUGUST PERSONAGE IN
LEI KUNG, THE THUNDE
NINJA/
MEACHUM, HAROLD
CLAYBORNE, REGINA
ATOM-SMASHER/
WEST, DALE
BELL, HERBERT
PROTECTOR III/
CONNORS, BILLY
CONNORS, MARTHA
LIZARD II
FISHMAN, DR. JONATHA
FALLON, MEG
ROWEN, CARL
ROWEN, MIKE
MR. SINISTER | AOA
DOVER, DONNA-LEE
MASTER MAN/WILHELM L
PROWLER/HOBIE BROWN
STACY, NANCY
THRENODY
DREADNAUGHT
ALEXANDER, CALEB
HEADHUNTER/
RAYMOND, ANN
MARRS, DESMOND
ALEXANDER, CARRIE
KRAUS, DR. FREIDERIC
WARRIOR WOMAN/JULIA
MEACHUM, WARD
SLUJ
MARRS(-PAYNE), PHOEB
SANDSTORM/
TORG
MIND'S EYE/MEACHAM
TERMINATOR
JAMIL
KARIMA
CANDRA
MOUNTJOY
BANTAM/
TERROR/LASLO PEVELY
BLAZING SKULL/MARK T
WOLVERINE | MUTANT X
BLOODSTORM | MUTANT
CAPTAIN AMERICA | MU
BRUTE | MUTANT X-VER
YASHIDA, MARIKO | MU
ICE-MAN | MUTANT X-V
GREY, JEAN | MUTANT
WILD CHILD | MUTANT
SABRETOOTH | MUTANT
EL TORO ROJO
EL VAMPIRO
DOMO
AGINAR
REJECT/RAN-SAK [DEVI
ATHENA [GREEK GOD]
AJAK/TECUMOTZIN [ETE
KARKAS [DEVIANT]
ARES [GREEK GOD]
VALKIN
DAMIAN, MARGO
MERCURY
FAMINE | MUTANT X-VE
GAMBIT | MUTANT X-VE
PROFESSOR X | MUTANT
MR. SINISTER | MUTAN
SUMMERS, SCOTT III |
PESTILENCE | MUTANT
FALLEN | MUTANT X-VE
